Name,Corrected_name
ACANTHOCARDI,ACANTHOCARDIA
ACTINOSTOLID,ACTINOSTOLIDAE
AGLAOPHENIID,AGLAOPHENIIDAE
ALCYONIDIIDA,ALCYONIDIIDAE
AMPHIURA CHI,AMPHIURA CHIAJEI
AMPHIURA FIL,AMPHIURA FILIFORMIS
AMPHIURA SUN,AMPHIURA SUNDEVALLI
ANSEROPODA P,ANSEROPODA PLACENTA
ANTHO (ANTHO) DICHOTOMA,ANTHO DICHOTOMA
APORRHAIS PE,APORRHAIS PESPELICANI
APORRHAIS PESPELICANIS,APORRHAIS PESPELICANI
APORRHAIS SE,APORRHAIS SERRESIANA
ARCTINULA GR,ARCTINULA GREENLANDICA
ARCTOGADUS G,ARCTOGADUS GLACIALIS
ARRHIS PHYLL,ARRHIS PHYLLONYX
ASCIDIA PRUN,ASCIDIA PRUNUM
ASCIDIA VIRG,ASCIDIA VIRGINEA
ASCIDIELLA S,ASCIDIELLA SCABRA
ASTARTE CREN,ASTARTE CRENATA
ASTARTE SULC,ASTARTE SULCATA
ASTERIDAE,ASTERIIDAE
ASTERONYX LO,ASTERONYX LOVENI
ATLANTOPANDA,ATLANTOPANDALUS
AXINELLA INF,AXINELLA INFUNDIBULIFORMIS
BATHYARCA GL,BATHYARCA GLACIALIS
BOREOMYSIS A,BOREOMYSIS ARCTICA
BOREOSCALA G,BOREOSCALA GREENLANDICA
BOTRYLLUS SC,BOTRYLLUS SCHLOSSERI
BRADA GRANUL,BRADA GRANULOSA 
BRADA INHABI,BRADA INHABILIS
BRADA VILLOS,BRADA VILLOSA
BRISASTER FR,BRISASTER FRAGILIS
BRISSOPSIS L,BRISSOPSIS LYRIFERA
BUCCINUM BEL,BUCCINUM BELCHERI
BUCCINUM FRA,BUCCINUM FRAGILE
BUCCINUM GLA,BUCCINUM GLACIALE
BUCCINUM HYD,BUCCINUM HYDROPHANUM
BUCCINUM POL,BUCCINUM POLARIS
BUGULA FLABE,BUGULA FLABELLATA
BULBUS SMITH,BULBUS SMITHII
CALATHURA BR,CALATHURA BRACHIATA
CALOCARIDIDA,AXIIDAE
CANCER BELLA,CANCER BELLIANUS
CAREPROCTUS (KORT),CAREPROCTUS MICROPUS
CAREPROCTUS (LANG),CAREPROCTUS REINHARDTI
CHACEON AFFI,CHACEON AFFINIS
CHARTELLA PA,CHARTELLA PAPYRACEA
CHEILOSTOMAT,CHEILOSTOMATIDA
CHRYSAORA HY,CHRYSAORA HYSOSCELLA 
CIDARIS CIDA,CIDARIS CIDARIS
CLEIPPIDES Q,CLEIPPIDES QUADRICUSPIS
COELORINCHUS LABITUS,COELORINCHUS LABIATUS
COLUS GRACIL,COLUS GRACILIS
COLUS ISLAND,COLUS ISLANDICUS
COLUS PUBESC,COLUS PUBESCENS
CORELLA PARA,CORELLA PARALLELOGRAMMA
CRANGON AFFI,CRANGON AFFINIS 
CRANGON ALLM,CRANGON ALLMANNI
CTENODISCIDA,CTENODISCIDAE
CUSPIDARIA A,CUSPIDARIA ARCTICA
CYANEA LAMARCKI,CYANEA LAMARCKII
DALLINA SEPT,DALLINA SEPTIGERA
DICHELOPANDA,DICHELOPANDALUS
DIPLOSOLEN I,DIPLOSOLEN INTRICARIUM
DITRUPA ARIE,DITRUPA ARIETINA
DOSIMA FASCI,DOSIMA FASCICULARIS
DOSINIA EXOL,DOSINIA EXOLETA
DRIFA GLOMER,DRIFA GLOMERATA
EBALIA TUBER,EBALIA TUBEROSA
ECHIUROINEA,ECHIUROIDEA
ELEDONE CIRR,ELEDONE CIRRHOSA
EPIGONUS TEL,EPIGONUS TELESCOPUS
EPIMERIA COR,EPIMERIA CORNIGERA
EPIMERIA LOR,EPIMERIA LORICATA
EPIZOANTHIDA,EPIZOANTHIDAE
EUALUS GAIMA,EUALUS GAIMARDII
EUCRATEA LOR,EUCRATEA LORICATA
EUDENDRIUM R,EUDENDRIUM RAMOSUM
EUNICE HARAS,EUNICE HARASSII
EUPYRGUS SCA,EUPYRGUS SCABER
EURYTHENES G,EURYTHENES GRYLLUS
