"","AphiaID","scientificname","valid_name","valid_AphiaID","kingdom","phylum","class","order","family","genus"
"1",999081,"Ophiogyra","Polygyratia",996655,"Animalia","Mollusca","Gastropoda","Stylommatophora","Scolodontidae","Ophiogyra"
"2",999084,"Opilolimax","Limax",154017,"Animalia","Mollusca","Gastropoda","Stylommatophora","Limacidae","Opilolimax"
"3",999085,"Opisthocoelex","Opisthosiphon",995698,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Annulariidae","Opisthocoelex"
"4",126196,"Argyropelecus","Argyropelecus",126196,"Animalia","Chordata","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus"
"5",126392,"Scomberesox saurus","Scomberesox saurus",126392,"Animalia","Chordata","Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox"
"6",140596,"Bathypolypus arcticus","Bathypolypus arcticus",140596,"Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Bathypolypus"
"7",106994,"Spirontocaris","Spirontocaris",106994,"Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris"
"8",125603,"Sternoptychidae","Sternoptychidae",125603,"Animalia","Chordata","Actinopterygii","Stomiiformes","Sternoptychidae",NA
"9",102864,"Acanthostepheia malmgreni","Acanthostepheia malmgreni",102864,"Animalia","Arthropoda","Malacostraca","Amphipoda","Oedicerotidae","Acanthostepheia"
"10",124969,"Gorgonocephalus eucnemis","Gorgonocephalus eucnemis",124969,"Animalia","Echinodermata","Ophiuroidea","Euryalida","Gorgonocephalidae","Gorgonocephalus"
"11",123390,"Strongylocentrotus","Strongylocentrotus",123390,"Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus"
"12",102224,"Rhachotropis aculeata","Rhachotropis aculeata",102224,"Animalia","Arthropoda","Malacostraca","Amphipoda","Eusiridae","Rhachotropis"
"13",103105,"Stegocephalus inflatus","Stegocephalus inflatus",103105,"Animalia","Arthropoda","Malacostraca","Amphipoda","Stegocephalidae","Stegocephalus"
"14",102152,"Paramphithoe hystrix","Paramphithoe hystrix",102152,"Animalia","Arthropoda","Malacostraca","Amphipoda","Paramphithoidae","Paramphithoe"
"15",140649,"Onychoteuthis banksii","Onychoteuthis banksii",140649,"Animalia","Mollusca","Cephalopoda","Oegopsida","Onychoteuthidae","Onychoteuthis"
"16",123250,"Leptychaster","Leptychaster",123250,"Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Leptychaster"
"17",129496,"Lepidonotus","Lepidonotus",129496,"Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Lepidonotus"
"18",101759,"Stegocephalus","Stegocephalus",101759,"Animalia","Arthropoda","Malacostraca","Amphipoda","Stegocephalidae","Stegocephalus"
"19",125171,"Poraniomorpha (Poraniomorpha) tumida","Poraniomorpha (Poraniomorpha) tumida",125171,"Animalia","Echinodermata","Asteroidea","Valvatida","Poraniidae","Poraniomorpha"
"20",100790,"Epizoanthus","Epizoanthus",100790,"Animalia","Cnidaria","Anthozoa","Zoantharia","Epizoanthidae","Epizoanthus"
"21",254728,"Brada granulata","Brada inhabilis",130097,"Animalia","Annelida","Polychaeta","Terebellida","Flabelligeridae","Brada"
"22",138266,"Benthoctopus","Bathypolypus",138265,"Animalia","Mollusca","Cephalopoda","Octopoda","Bathypolypodidae","Benthoctopus"
"23",107533,"Spirontocaris spinus","Spirontocaris spinus",107533,"Animalia","Arthropoda","Malacostraca","Decapoda","Thoridae","Spirontocaris"
"24",129924,"Spiochaetopterus typicus","Spiochaetopterus typicus",129924,"Animalia","Annelida","Polychaeta",NA,"Chaetopteridae","Spiochaetopterus"
"25",123622,"Ophiopholis","Ophiopholis",123622,"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae","Ophiopholis"
"26",123258,"Ctenodiscus","Ctenodiscus",123258,"Animalia","Echinodermata","Asteroidea","Paxillosida","Ctenodiscidae","Ctenodiscus"
"27",129233,"Spiochaetopterus","Spiochaetopterus",129233,"Animalia","Annelida","Polychaeta",NA,"Chaetopteridae","Spiochaetopterus"
"28",274476,"Careproctus solidus","Careproctus solidus",274476,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Careproctus"
"29",158351,"Atlantopandalus propinqvus","Atlantopandalus propinqvus",158351,"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Atlantopandalus"
"30",107643,"Dichelopandalus bonnieri","Dichelopandalus bonnieri",107643,"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Dichelopandalus"
"31",123297,"Hippasteria","Hippasteria",123297,"Animalia","Echinodermata","Asteroidea","Valvatida","Goniasteridae","Hippasteria"
"32",106925,"Liocarcinus","Liocarcinus",106925,"Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Liocarcinus"
"33",123224,"Marthasterias","Marthasterias",123224,"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Marthasterias"
"34",123245,"Astropecten","Astropecten",123245,"Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten"
