,AphiaID,scientificname,valid_name,valid_AphiaID,kingdom,phylum,class,order,family,genus
1,117225,Abietinaria,Abietinaria,117225,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria
2,137732,Acanthocardia,Acanthocardia,137732,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia
3,104108,Acartia,Acartia,104108,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia
4,100694,Actinia,Actinia,100694,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia
5,100803,Actinia equina,Actinia equina,100803,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia
6,1360,Actiniaria,Actiniaria,1360,Animalia,Cnidaria,Anthozoa,Actiniaria,NA,NA
7,100653,Actiniidae,Actiniidae,100653,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,NA
8,10194,Actinopterygii,Actinopterygii,10194,Animalia,Chordata,Actinopterygii,NA,NA,NA
9,100709,Actinostola,Actinostola,100709,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Actinostola
10,100655,Actinostolidae,Actinostolidae,100655,Animalia,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,NA
11,100751,Adamsia,Adamsia,100751,Animalia,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,Adamsia
12,118394,Aega,Aega,118394,Animalia,Arthropoda,Malacostraca,Isopoda,Aegidae,Aega
13,118827,Aega psora,Aega psora,118827,Animalia,Arthropoda,Malacostraca,Isopoda,Aegidae,Aega
14,138313,Aequipecten,Aequipecten,138313,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten
15,140687,Aequipecten opercularis,Aequipecten opercularis,140687,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten
16,116998,Aequorea,Aequorea,116998,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea
17,1605,Aglaopheniidae,Aglaopheniidae,1605,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,NA
18,125588,Agonidae,Agonidae,125588,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,NA
19,127190,Agonus cataphractus,Agonus cataphractus,127190,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Agonus
20,1365,Alcyonacea,Alcyonacea,1365,Animalia,Cnidaria,Anthozoa,Alcyonacea,NA,NA
21,110783,Alcyonidiidae,Alcyonidiidae,110783,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,NA
22,110993,Alcyonidium,Alcyonidium,110993,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium
23,125269,Alcyoniidae,Alcyoniidae,125269,Animalia,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,NA
